ref='/players/playerpage/2901324?o_pos=U'data-o_pos="U">Shohei Ohtani, 2901324?o_pos=U'data-o_pos="U">Shohei Ohtan, P|UT
Jack Anderson, 2804687, P
Zach Houchins, 2803481, 3B|UT
Trever Adams, 1961303, 1B|UT
Jose Alberto Molina, 2226049, P
Thomas Sosa, 29662365, OF|UT
Jacob Condra-Bogan, 2836730, P
Miguel Ullola, 29077667, P
James Harris, 2120619, OF|UT
Ronis Aybar, 29088538, OF|UT
Tyler Bortnick, 1813205, SS|UT
Carlos Ramirez, 1741386, C|UT
Gerson Molina, 3096714, OF|UT
Blake Dickerson, 29321920, P
Todd Czinege, 2836776, 3B|UT
Gabriel Rodriguez, 28838888, SS|UT
Mauricio Llovera, 2823894, P
Balbino Fuenmayor, 2220475, 1B|UT
Connor Sadzeck, 2118802, P
Marco Duarte, 2048463, P
Danny Wirchansky, 29677770, P
David Harris, 2171865, OF|UT
Beamer Weems, 1666697, SS|UT
Homer Bush, 29321897, OF|UT
Sandro Fabian, 2507505, OF|UT
Arturo Guerrero, 28843211, OF|UT
Isrrael De La Cruz, 2822266, SS|UT
Kenedy Corona, 28838219, OF|UT
Carter Holton, 29632446, P
Terrell Tatum, 29085646, OF|UT
Noah Murdock, 26635156, P
Carson Hobbs, 29676675, P
Josh Morgan, 2167344, C|UT
Aaron Sabato, 26615323, 1B|UT
Keithron Moss, 26615329, 2B|UT
Dan Rohlfing, 1803823, C|UT
DJ Gladney, 26615337, 1B|UT
Logan Taylor, 2226787, 3B|UT
Tahnaj Thomas, 2829435, P
Kervin Pichardo, 29686520, SS|UT
Everhett Hazelwood, 28843212, P
Albertus Barber, 29091596, P
Craig Brooks, 2821696, P
Geoffrey Gilbert, 29087564, P
Will Ethridge, 26615419, P
Kevin Torres, 2051187, C|UT
Evan Marzilli, 2044247, OF|UT
Dan Fiorito, 2170497, 3B|UT
Justin Toerner, 3103670, OF|UT
Tyler Frost, 2836886, OF|UT
Jefferson Rojas, 29322013, SS|UT
Calvin Conley, 26911688, SS|UT
Nick Mondak, 29686499, P
Dakota Donovan, 28837788, P
Tanner Nishioka, 2837296, 2B|UT
David Sosebee, 3096404, P
Kervin Suarez, 2826105, 2B|UT
Brendon Davis, 2227220, OF|UT
Cooper Ingle, 29342284, C|UT
Matthew Wivinis, 2842941, P
Felix Valerio, 26912427, OF|UT
Jordan Brewer, 26615391, OF|UT
Aldrem Corredor, 2822124, OF|UT
Manuel Cachutt, 2829872, P
Marino Santy, 29322019, P
Ryan Miller, 2804233, C|UT
Chad Hinshaw, 2170512, OF|UT
Sean Reynolds, 3097421, P
Tommy Doyle, 2836823, P
Chris Schrock, 26635164, SS|UT
Ryan Halstead, 2915699, P
Caleb Ricketts, 29295888, C|UT
Tatem Levins, 29360038, C|UT
Yophery Rodriguez, 29322012, OF|UT
Nick Bitsko, 26615393, P
Ronaiker Palma, 29079599, C|UT
Jaden Hamm, 29632925, P
Drake Osborn, 29091136, C|UT
Cole Uvila, 29080197, P
Brody Brecht, 29662224, P
Cristian Paulino, 2227793, OF|UT
Yordys Valdes, 3152108, SS|UT
Francesco Barbieri, 29692438, OF|UT
Nick Swiney, 26615399, P
Ezequiel Pagan, 28841698, OF|UT
Jeremy Rodriguez, 29322011, SS|UT
Angel Genao, 26643928, SS|UT
Jose Duarte, 2171390, C|UT
Alex Bustamante, 29087579, P
Jake Pilarski, 29090018, P
Luis Peralta, 29456614, P
Jay Beshears, 29677736, 1B|UT
Christopher De La Cruz, 2931270, OF|UT
Drew Millas, 26615322, C|UT
Trey McGough, 29342306, P
Bryce Hubbart, 29075496, P
T.J. Weir, 2227752, P
Yoendrys Gomez, 3077726, P
Andres Mesa, 28843219, SS|UT
AJ Graffanino, 2932777, SS|UT
Demitrio Nadal, 29683796, 3B|UT
Carter Baumler, 26615412, P
Cole Fontenelle, 29342258, 3B|UT
Taylor Broadway, 28838067, P
Junior Franco, 28842638, OF|UT
Spencer Henson, 28843213, 1B|UT
Henry Baez, 29657141, P
Tyler Owens, 26615411, P
Justin Lopez, 2835718, SS|UT
Cameron Leonard, 28842392, P
BJ Murray, 29086256, 3B|UT
Casey McElroy, 2048695, SS|UT
James Free, 29085482, C|UT
Stephen Wickens, 2121137, SS|UT
Jack Lopez, 2121320, 2B|UT
Chuckie Robinson, 2919628, C|UT
C.J. Culpepper, 29295978, P
Ilvin Fernandez, 28843185, SS|UT
Ryan Aper, 2171301, OF|UT
Freddy Pacheco, 26861449, P
Kade Scivicque, 2216584, C|UT
Jaden Woods, 29658269, P
Yoeilin Cespedes, 29321907, SS|UT
Cody Laweryson, 28842391, P
Alec Kenilvort, 2921570, P
Alfonsin Rosario, 29658263, OF|UT
Ben Aklinski, 3103464, OF|UT
Jack Cushing, 29085481, P
Yoanys Quiala, 2915786, P
Michael McAvene, 3152060, P
Ben Kudrna, 26911734, P
Luis Pino, 26913047, OF|UT
Luis Valdez, 29686868, 2B|UT
Darius Hill, 28837127, OF|UT
Antoni Flores, 3077708, SS|UT
Chase Shugart, 2933099, P
Caleb Ketchup, 29686886, SS|UT
Juan Mota, 2824573, P
Yender Caramo, 2592844, P
James Pugliese, 2734419, P
Emmanuel Marrero, 2921425, SS|UT
Spencer Packard, 28839288, OF|UT
Nick Dalesandro, 2932674, OF|UT
Nick McLain, 29644438, OF|UT
Matt Kroon, 2837097, 3B|UT
Alan Strong, 2933128, P
Jarod Bayless, 29342225, P
Delvin Zinn, 28837131, SS|UT
Gunnar Heidt, 2746507, SS|UT
Rubel Cespedes, 29086245, 3B|UT
Martires Arias, 2220463, P
Mark Serrano, 1960791, P
Japhet Amador, 2114135, 1B|UT
Ryan Burr, 2921618, P
Matt Whatley, 2910597, C|UT
Jared Solomon, 2837537, P
Ronald Bueno, 2171389, 2B|UT
Jordyn Adams, 2942977, OF|UT
Brock Deatherage, 2836791, OF|UT
Claudio Bautista, 2120522, SS|UT
Jeff Gelalich, 2044554, OF|UT
Matt Pidich, 2933012, P
Tanner Rahier, 2044527, SS|UT
Sam Weatherly, 2837668, P
Carlos Guarate, 2931959, P
Jhonny Bethencourt, 2821555, 2B|UT
Jacob Rhinesmith, 2933045, OF|UT
Ryan Grotjohn, 2836943, 2B|UT
Carlos Narvaez, 2824624, C|UT
Matthew Gorst, 2915534, P
Zach Shepherd, 2170278, 3B|UT
Estarling Mercado, 29684915, OF|UT
Paulino Santana, 29339045, OF|UT
Leonardo Reginatto, 1959094, SS|UT
Jose Ortiz, 29658261, OF|UT
Yerlin Luis, 29692366, OF|UT
Jake McSteen, 28842393, P
Blake Money, 29687808, P
Nick Garcia, 26616949, P
Lucas Knowles, 29342295, P
Nate Griep, 2919943, P
Shotaro Morii, 29677015, SS|UT
Daniel Missaki, 29683094, P
Sam Brown, 29348145, 1B|UT
Donavan Tate, 1739602, OF|UT
Jack Lines, 29687315, SS|UT
Patrick Reilly, 29658262, P
Erick Brito, 28846881, SS|UT
TJ Rumfield, 29084396, 3B|UT
Patrick Dorrian, 27022479, 2B|UT
Mike Augliera, 2226037, P
Matt O'Neill, 28842587, C|UT
Drew Avans, 28840233, OF|UT
Tre Richardson, 29686521, SS|UT
Tanner Murphy, 2167327, C|UT
Jeff Howell, 1660447, C|UT
Gavin Conticello, 28846882, OF|UT
Curt Powell, 2121208, SS|UT
Denyi Reyes, 2825336, P
Manuel Mercedes, 26912476, P
Nolan Becker, 2804235, P
Nate Reed, 2120119, P
Luis Baez, 2930766, OF|UT
Ben Wereski, 29350975, P
Robert Gonzalez, 28843210, OF|UT
Ivran Romero, 29686522, P
Jared Dupere, 29090726, OF|UT
Hector Daniel Rodriguez, 2036152, P
Ryan Sloan, 29644495, P
Edward Florentino, 29662333, OF|UT
Connor Noland, 29678057, P
Johnny Ray, 29344256, P
Brayan Hernandez, 2910621, OF|UT
Alex Valverde, 2837625, P
Jairo Perez, 1961511, 3B|UT
Austin Wilson, 2066815, OF|UT
Justin Dean, 2932689, OF|UT
Sauryn Lao, 2823780, P
George Soriano, 2826020, P
Jarret Whorff, 29677745, P
Yonathan Perlaza, 2825067, 2B|UT
Jesus Baez, 29077625, SS|UT
Silfredo Garcia, 2216697, P
Jack Blomgren, 26615357, SS|UT
Arturo De Freitas, 29089643, C|UT
Kewby Meyer, 2803301, 1B|UT
Ty Adcock, 29089641, P
Keegan Yuhl, 2734154, P
Eduardo Quintero, 29322010, OF|UT
David Garcia, 2829024, C|UT
Matthew Hardy, 2846712, P
James Meeker, 29084416, P
Bradley Malm, 29086404, 3B|UT
Jackson Castillo, 29675428, OF|UT
Eduardo Beltre, 29662332, OF|UT
Anderson Pilar, 2825096, P
Jordan Rodgers, 2837418, 3B|UT
Alexander Hermeling, 2740416, P
Nelson Beltran, 29089642, SS|UT
David Speer, 2804681, P
Mark Sappington, 2044117, P
Josh Vidales, 2803487, 2B|UT
Dylan Dreiling, 29644425, OF|UT
Grant Koch, 2932857, C|UT
Jordan Carr, 29342238, P
Niko Hulsizer, 2932824, OF|UT
Hayden Merda, 29685405, P
Uziel Viloria, 28846889, SS|UT
Joe Filomeno, 2227795, P
Drew Lugbauer, 2837146, 1B|UT
Ricardo Pinto, 2167461, P
Kohl Drake, 29632435, P
Gage Canning, 2932299, OF|UT
Hans Montero, 29681944, 3B|UT
Adrian Acosta, 29321876, P
Luke Farrell, 2227177, P
John Fasola, 2822641, P
Will Verdung, 29676704, 2B|UT
Shane Drohan, 2836825, P
Andres Arias, 29662350, OF|UT
Zavier Warren, 26615320, OF|UT
Jose Escobar, 29677756, SS|UT
D.J. Burt, 2753435, 2B|UT
Nick Richmond, 29085044, P
Adam Hackenberg, 29062203, C|UT
Tyler Stasiowski, 29686523, P
Josh Graham, 2823088, P
Austin Aune, 2053471, SS|UT
Kevin Josephina, 2921560, 2B|UT
Jacob Watters, 29075705, P
Yolfran Castillo, 29662397, SS|UT
Thomas McIlraith, 3158248, P
Wilfredo Flores, 28846883, OF|UT
Trevor Bettencourt, 2921423, P
Hector Vargas, 2223642, 2B|UT
Levi Michael, 1894645, 2B|UT
Grant Kipp, 29675455, P
Matt Milburn, 3152833, P
Rusber Estrada, 28842390, C|UT
Bryan King, 29342666, P
Tyler Miller, 29342312, 3B|UT
Davis Wendzel, 3117942, 3B|UT
Carlos Colmenarez, 26643914, 2B|UT
Blake Mitchell, 29153546, C|UT
Sean Gleason, 2050855, P
Heath Holder, 3101499, OF|UT
Anderson Franco, 2211749, 3B|UT
Austin Hyatt, 1833105, P
Ethan Skender, 2798062, SS|UT
Elian Pena, 29669162, SS|UT
Manuel Alvarez, 2925018, P
Jagger Rusconi, 2918657, OF|UT
Jordan Mikel, 29342311, P
Ernny Ordonez, 28842738, 3B|UT
Erich Weiss, 2171097, 2B|UT
Brandon Valenzuela, 2931064, C|UT
D.J. Stewart, 2837564, 1B|UT
Esmith Pineda, 29322006, OF|UT
Andres Melendez, 26640188, C|UT
Antony Peguero, 29077587, OF|UT
Cole Miller, 29321986, P
Roberto Pena, 1959725, C|UT
Andres Avila, 2228476, P
Ryan Costeiu, 29075763, P
Jerrick Suiter, 2228430, OF|UT
Jesus Made, 29632938, SS|UT
Gunner Mayer, 26911807, P
Sean Hermann, 29075769, P
Cameron Varga, 2170122, P
Daniel Gibson, 2218316, P
Aneurys Zabala, 2826706, P
Zach Reks, 2837382, OF|UT
Kyle Wren, 2121283, OF|UT
Ben Malgeri, 29085285, OF|UT
Clark Scolamiero, 2837487, OF|UT
Abel Bastidas, 26643935, SS|UT
Kendall Williams, 3151908, P
Ubaldo Soto, 29662106, P
D.J. Davis, 2041574, OF|UT
Brian Loconsole, 2171120, P
Nick Hull, 29675446, P
Ryan Bergert, 29075762, P
David Armendariz, 2171337, OF|UT
McCade Brown, 26911766, P
Moises Castillo, 2821909, SS|UT
Cale Coshow, 2740133, P
Yariel Gonzalez, 2823066, 3B|UT
Landon Marceaux, 26911788, P
Alex Katz, 2804934, P
Ronan Kopp, 29075761, P
Justin Brantley, 2218070, P
Malcolm Moore, 29426065, C|UT
Logan VanWey, 29091448, P
Bryce Meccage, 29644484, P
Trey Michalczewski, 2165921, 3B|UT
Colt Emerson, 29153555, SS|UT
Brian Navarreto, 2804029, C|UT
Donny Sands, 2447475, C|UT
Jurrangelo Cijntje, 29426044, P
Chris Mariscal, 2169913, 3B|UT
Reagan Todd, 28837130, P
Aneury Tavarez, 2119374, OF|UT
Hayden Senger, 26637982, C|UT
Adam Hall, 2836953, OF|UT
Wilson Garcia, 2822904, C|UT
Daniel Bies, 2932280, P
Carlos Penalver, 2048851, 2B|UT
Agustin Ruiz, 3097060, OF|UT
Brandon Trinkwon, 2171875, 3B|UT
Austin Ross, 3157971, P
Drew Vettleson, 1765822, OF|UT
Cole Mathis, 29658260, 3B|UT
Sterlin Thompson, 29075774, OF|UT
Bryson Horne, 29342429, 1B|UT
Braxton Fulford, 28839879, C|UT
Marcos Cabrera, 28843206, 3B|UT
Loidel Chapelli, 29077658, 2B|UT
Cris Rodriguez, 29669163, OF|UT
Justin Connell, 2836733, OF|UT
Dylan Hardy, 2932796, OF|UT
Bryan Gonzalez, 29682348, OF|UT
Matt Crouse, 1962832, P
Mario Camilletti, 29678307, 2B|UT
Jonny Homza, 2837005, 3B|UT
Terry Doyle, 1918578, P
Ryan Ripken, 2915596, 1B|UT
Juan Nunez, 29342319, P
Colton Davis, 2921034, P
Jordan Foley, 2822754, P
Austin Upshaw, 2837620, 2B|UT
Luis Curbelo, 3097073, SS|UT
Anthony Solometo, 26911741, P
Jonah Wesely, 2921004, P
Miguel Figueroa, 3103459, P
Nelson Gonzalez, 2170998, P
Austin Warner, 2850308, P
Nazier Mule, 29075746, P
Carlos Garcia, 2227129, 2B|UT
Chase Pinder, 2837349, OF|UT
Janser Lara, 2823785, P
Joshua Mears, 3152112, OF|UT
Olbis Parra, 2824893, P
Joseph Rosa, 2780091, SS|UT
Hans Crouse, 2836766, P
Connor Owings, 2747493, 2B|UT
D.J. Wilson, 2449447, OF|UT
Jeremias Pineda, 2000370, 2B|UT
Bailey Horn, 29080903, P
Frankie Mozzicato, 26719570, P
Adriam Santana, 29153563, SS|UT
Jack Perkins, 29321685, P
Luis Meza, 28839810, C|UT
Yeudy Garcia, 2211782, P
Cam Caminiti, 29426059, P
Alberto Rios, 29295918, C|UT
Preston Scott, 2804929, OF|UT
Anthony Quirion, 29089886, C|UT
Deon Stafford, 2837549, C|UT
Juan Ciriaco, 549244, SS|UT
Taylor Young, 29342370, 2B|UT
Tai Peete, 29153562, SS|UT
Joe Donovan, 2836820, C|UT
Adrian Santana, 29034796, P
Adrian Hernandez, 2931964, P
Hector Mendoza, 2914725, P
Sebastian Almonte, 28842464, 2B|UT
Wladimir Galindo, 2507348, 1B|UT
Juan Ciriaco, 2120516, SS|UT
Jason Forjet, 2227790, P
Tyler Marincov, 2170400, OF|UT
Logan Gillaspie, 26861434, P
Cesar Lares, 29660656, P
Jair Camargo, 2821793, C|UT
Edwin Escobar, 2027505, P
Ronny Sanchez, 29088706, 3B|UT
Marcus Chiu, 2836717, 2B|UT
Edmond Americaan, 2836541, OF|UT
Jonny Farmelo, 29153561, OF|UT
Nathan Perry, 2837342, C|UT
Vance Honeycutt, 29426051, OF|UT
KC Serna, 2226169, SS|UT
Manuel Palencia, 29087587, C|UT
Kaleb Bowman, 29085303, P
Scott Weathersby, 2797796, P
Brandon Downes, 2226896, OF|UT
Jhon Peluffo, 3158102, P
Josh Wolf, 3152119, P
Jacob Pearson, 2837331, OF|UT
Justin Bohn, 2120725, SS|UT
Ivan Maldonado, 1208662, P
William Bergolla, 392291, 2B|UT
Jayvien Sandridge, 29342336, P
Gus Steiger, 28842471, SS|UT
Tristan Garnett, 29084389, P
Jared Johnson, 26911749, P
Vince Fernandez, 2804514, OF|UT
Robert Wegielnik, 29684942, P
Zack Brown, 3085603, P
Miguel Villarroel, 28846910, SS|UT
J.B. Olson, 28842608, P
Yhoxian Medina, 2121149, SS|UT
Billy Wilson, 3107130, OF|UT
Peyton Gray, 29342267, P
Grant Lavigne, 2931982, 1B|UT
Matt Mikulski, 26911743, P
Lisbel DIaz, 29684941, OF|UT
Sam Street, 2785744, P
Keegan Long, 2921365, P
Landon Wallace, 29084228, OF|UT
Dickie Joe Thon, 2804922, 2B|UT
Jake Peter, 2171424, 2B|UT
Wilking Rodriguez, 2132971, P
Chad Spanberger, 2837542, OF|UT
Bobby Seymour, 29351816, 1B|UT
Miguel Jerez, 2823552, C|UT
Will Taylor, 29687756, OF|UT
Jake Kalish, 2823646, P
Shane Broyles, 2228435, P
Austin Smith, 2211223, P
Felipe Blanco, 2227782, 3B|UT
Johanfran Garcia, 29321937, C|UT
Joe Jacques, 29084552, P
Noble Meyer, 29155726, P
Chase Cohen, 2932642, P
D.J. McCarty, 28846906, P
Raynel Delgado, 2932695, 2B|UT
Juan Fernandez, 2822681, C|UT
Ti'Quan Forbes, 2739979, 3B|UT
Esney Chacon, 2829312, OF|UT
Isaiah Drake, 29321923, OF|UT
Kaleb Fontenot, 2921573, P
Morgan Lofstrom, 3096078, C|UT
Michael Snyder, 29676295, 3B|UT
Logan Tanner, 29075728, C|UT
Yeremi Cabrera, 29686704, OF|UT
Omar De Los Santos, 29084551, OF|UT
Dylan Bice, 29078779, P
Phillips Castillo, 1947855, OF|UT
Aaron Kurcz, 2167794, P
Ernie De La Trinidad, 2836788, OF|UT
Hyun-il Choi, 3152063, P
Gerson Moreno, 2824536, P
Luis Quinones, 29096136, P
Brady Choban, 29675828, P
Tre' Morgan, 29321991, 1B|UT
Blake Workman, 28838308, P
Antonio Cabello, 3077719, OF|UT
Trey Cochran-Gill, 2169867, P
Quincy Scott, 29686890, OF|UT
Peter Van Gansen, 2226052, SS|UT
Roilan Machandy, 28838279, OF|UT
Carlos Pimentel, 1961064, P
Andres Angulo, 2821256, C|UT
Reidy Mercado, 28851009, OF|UT
Zach Osborne, 2171048, SS|UT
Grayson Byrd, 28837103, SS|UT
Dan Black, 2119559, 1B|UT
Galvi Moscat, 2170715, OF|UT
Sam Carlson, 2836694, P
Patrick Weigel, 2449976, P
Brian Marconi, 28838025, P
Ralston Cash, 2699567, P
Zach Ashford, 28842148, OF|UT
Kade Morris, 29321992, P
Tyler Thomas, 3103748, P
Randy Wynne, 28838542, P
Jake Henson, 2227789, C|UT
Junior Perez, 2930992, OF|UT
J.C. Correa, 28838272, SS|UT
Arby Fields, 2226333, OF|UT
Terence Doston, 28851002, OF|UT
Frank Nigro, 29087625, C|UT
Devin Conn, 2932649, P
Branden Berry, 2800870, 1B|UT
Christian Cerda, 28846848, C|UT
James Teague, 2915683, P
Chris Kean, 29688608, P
Grant Ford, 29687764, P
TJayy Walton, 29322045, OF|UT
Cesar Gomez, 29085030, P
Ethan Roberts, 2933050, P
Connor O'Halloran, 29321999, P
Felix Morrobel, 29321993, SS|UT
Miller Hogan, 2837000, P
Dalton Roach, 29077090, P
Sean Boyle, 28838271, P
James Hicks, 29632460, P
Bradlee Beesley, 28837102, OF|UT
Ricardo Cabrera, 28839806, 3B|UT
Luis Pintor, 2921609, SS|UT
Ryan Ramiz, 3102101, OF|UT
Vincent Perozo, 29676150, C|UT
Enrique Segura, 29077608, P
Carlos Machado, 2824016, OF|UT
Conner Loeprich, 29084553, P
Adam Seminaris, 3166985, P
Tim Torres, 1741021, 3B|UT
Kona Quiggle, 3157916, OF|UT
Cade Fergus, 29084157, OF|UT
Jared Dickey, 29321921, OF|UT
Christian Herberholz, 29679118, P
Aldo Ramirez, 26615445, P
Richelson Pena, 2743633, P
Stryker Trahan, 2029344, OF|UT
Williander Moreno, 2930953, P
Alex De Jesus, 26912444, 3B|UT
Wyatt Strahan, 3103878, P
Luis Verdugo, 3077712, SS|UT
Garrett Fulenchek, 2167298, P
Hunter Parsons, 29084246, P
Devin Sweet, 3158016, P
Tyler Cyr, 2822211, P
Maximo Acosta, 3159165, SS|UT
J.J. D'Orazio, 29321922, C|UT
Amos Willingham, 29085051, P
Gerson Garabito, 2211790, P
Keegan Curtis, 26912465, P
Stewart Ijames, 2171251, OF|UT
Tommy Troy, 29153548, SS|UT
Cruz Noriega, 2930965, P
Emailin Montilla, 29349533, P
Ethan Paul, 28840173, SS|UT
Ben Guez, 1741049, OF|UT
Maick Collado, 29089454, SS|UT
Jacob Kmatz, 29644479, P
Nerwilian Cedeno, 29077671, 2B|UT
Narciso Mesa, 2171697, OF|UT
Rob Emery, 29085460, C|UT
Miguel Diaz, 2167352, P
Josh Dye, 27022495, P
Luke Hayden, 29644473, P
Liam Norris, 26615408, P
Scott Kuzminsky, 2871413, P
Wilmer Reyes, 2825355, SS|UT
Colton Turner, 2803770, P
Edgar Corcino, 1960242, 3B|UT
Geronimo Franzua, 29344939, P
Connor Harrell, 2121059, OF|UT
Andrew Pintar, 29070454, OF|UT
Matt Dean, 2216806, 1B|UT
Alexis Garcia, 2822844, SS|UT
Jose Gerardo, 29077645, OF|UT
Pedro Hernandez, 29089623, SS|UT
Austin Kitchen, 29085574, P
Nick Brink, 29677725, P
Danny Hayes, 2170288, 1B|UT
Manuel Pena, 29077664, 2B|UT
Ben Ruta, 3096091, OF|UT
Yeyson Yrizarri, 2167513, SS|UT
Danny Gutierrez, 1735904, P
Steve Scott, 29080367, C|UT
Tyler Schweitzer, 29075783, P
Cooper Pratt, 29322008, SS|UT
Brent Diaz, 2836805, C|UT
Zach Barnes, 29353870, P
Jorge Marban, 2224835, P
Yordanny Monegro, 29321988, P
Luke Dykstra, 2447483, 2B|UT
Haydn McGeary, 29088725, 1B|UT
Mitchell Tyranski, 29090987, P
Zac Ryan, 3094350, P
Alex Pham, 29295939, P
Yeltsin Gudino, 2733999, SS|UT
Joelvis Del Rosario, 29091446, P
Jeffrey Colon, 29356601, P
Wyatt Sanford, 29644445, SS|UT
Jesus Castillo, 29088487, SS|UT
Korey Holland, 2932822, OF|UT
Trystan Vrieling, 29075781, P
Jairo Pomares, 3152055, OF|UT
Derek Craft, 2932662, P
Henyer Gomez, 29089622, SS|UT
Clark Candiotti, 29644464, P
Luis Mey, 29631473, P
Connor Grey, 2823111, P
Ulysses Cantu, 2794799, 3B|UT
Andrew Pullin, 2223335, OF|UT
Cutter Dykstra, 1665383, OF|UT
William English, 2932718, P
Yoel Espinal, 2822580, P
Shane McGuire, 29683482, C|UT
Jhoan Urena, 2167359, 3B|UT
Elijah Dunham, 26911768, OF|UT
Travis Adams, 29616033, P
Blake Goldsberry, 29089621, P
Tucker Toman, 29075782, 3B|UT
Julio Francisco, 2829022, OF|UT
Avery Weems, 26911815, P
Derek Jenkins, 2920935, OF|UT
Julian Aguiar, 29295931, P
Shane Panzini, 26911786, P
Trent Farquhar, 29676690, 2B|UT
Ty Duvall, 28843208, C|UT
Lizandro Espinoza, 29077656, SS|UT
Raudel Lazo, 2042432, P
Brandon Grudzielanek, 2860382, SS|UT
Zander Sechrist, 29682346, P
Juan Matheus, 29676008, SS|UT
Mike Antico, 28840172, OF|UT
Nick Dombkowski, 29085024, P
Carson DeMartini, 29658280, 3B|UT
Paxton Thompson, 29344932, P
Colby Halter, 29349532, 2B|UT
Cade Harris, 2932798, 3B|UT
Wyatt Mills, 2837239, P
Zane Barnhart, 29678290, P
Nick Roselli, 29683714, 2B|UT
Ryan Reckley, 29077679, 2B|UT
Trey Gregory-Alford, 29644471, P
Nikau Pouaka-Grego, 29077673, 3B|UT
Connor Kopach, 3094400, 2B|UT
Tyler Tolbert, 28838890, SS|UT
Hyungchan Um, 29644240, C|UT
Jonah Todd, 2837605, OF|UT
Carlson Reed, 29084217, P
Angel Perdomo, 2507523, P
Chase Jaworsky, 29321954, SS|UT
Payton Henry, 2910601, C|UT
Andres Alvarez, 28840171, SS|UT
Juan Caballero, 2227744, P
Dane Acker, 29077340, P
Christopher Familia, 29349531, OF|UT
Owen Hall, 29644472, P
Michael Santos, 2167507, P
Ashton McGee, 28841209, 2B|UT
Santiago Nessy, 2044549, C|UT
Matt Solter, 2826011, P
Cody Stull, 2804024, P
Nick Sinacola, 29342441, P
Adrian Pinto, 28846862, 2B|UT
Malvin Valdez, 26913053, OF|UT
Lake Bachar, 3152730, P
Josh Kasevich, 29075717, SS|UT
Anderdson Rojas, 29683327, OF|UT
Christian Williams, 2804220, 1B|UT
Corey Black, 2040762, P
Alejandro Garcia, 2615374, OF|UT
Jeff Bain, 2836561, P
Keenyn Walker, 1947828, OF|UT
Hayden Harris, 29342270, P
Ryan Kussmaul, 1959173, P
Alejandro Pie, 28846861, SS|UT
Matt Sauer, 2837467, P
Eric Cerantola, 29342442, P
Bryan Harper, 2228203, P
Ashe Russell, 2184465, P
Edwin Espinal, 2171100, 1B|UT
Tyler Neslony, 2921039, OF|UT
Patrick Brady, 2120675, 2B|UT
Jake Holton, 29086654, 1B|UT
Dedgar Jimenez, 2915587, P
Brett McKinney, 2731206, P
Yahil Melendez, 29680225, SS|UT
Marcel Renteria, 2837384, P
Reynaldo Rodriguez, 1813383, C|UT
Brock Moore, 29676729, P
Casey Legumina, 29033794, P
Marcos Tineo, 2830262, P
Stanley Consuegra, 3094731, OF|UT
Ryan Arrowood, 2121169, P
Alan Mejia, 29086557, OF|UT
Luke Leftwich, 2921392, P
Ray Gaither, 29330466, P
Samuel Strickland, 29360064, P
Joel Seddon, 2825854, P
Benyamin Bailey, 26913030, OF|UT
Myles Smith, 2228217, P
Raffi Vizcaino, 2826531, P
Kevin Mahala, 2740418, P
Yankory Pimentel, 2825104, P
Juan Burgos, 29342236, P
Charles McAdoo, 29404846, 3B|UT
Alberto Triunfel, 2826315, 2B|UT
Miguel Cienfuegos, 29676721, P
Leandro Santana, 2804932, 3B|UT
Robbie Hitt, 2836994, P
Davis Sharpe, 29084418, P
Seth Corry, 2836746, P
Seth Spivey, 2171158, 2B|UT
Alex Klonowski, 2823714, P
Robinson Ortiz, 2846111, P
Mayo Acosta, 1670944, C|UT
Nathan Wiles, 29342367, P
David Gonzalez, 1962834, 2B|UT
Jose Godoy, 2822981, C|UT
Oscar Rangel, 28846863, C|UT
Erik Sabrowski, 2933070, P
Buck Britton, 1806043, 2B|UT
Benjamin Blackwell, 29342449, 2B|UT
Chad Sedio, 2921041, SS|UT
Alex McKenna, 2932931, OF|UT
Alberti Chavez, 2171850, 3B|UT
Chase Petty, 26719671, P
Nick Routt, 2509402, P
Michael Papierski, 2837321, C|UT
Noah Myers, 29360056, OF|UT
Samuel Aldegheri, 29321878, P
William Silva, 29685397, P
Sean Keselica, 2823688, P
Renny Hidalgo, 29086130, OF|UT
Carlos Arroyo, 2794806, OF|UT
Brock Lundquist, 2837148, OF|UT
Martin Agosta, 2044515, P
Kort Peterson, 3094749, OF|UT
Grant Zawadzki, 2921399, P
Pedro Ramirez, 28842610, 3B|UT
Jack Herman, 3077697, OF|UT
Landon Sims, 29075726, P
Tito Polo, 2122072, OF|UT
Travis Jones, 2837056, OF|UT
Jordan Wren, 2837706, OF|UT
Zach Nehrir, 2227181, OF|UT
Pedro Santos, 29345487, P
Luinder Avila, 29321885, P
Carlos Herrera, 2211762, SS|UT
Ethan Workinger, 29086267, OF|UT
Guy Lipscomb, 29091648, OF|UT
Ian McKinney, 2824286, P
Garrett Boulware, 2170132, C|UT
Kyle Kasser, 28840218, 2B|UT
Sammy Peralta, 28846908, P
Misael Gonzalez Acosta, 26911721, OF|UT
Zach Warren, 2837658, P
Christian Johnson, 28846855, OF|UT
Harold Chirino, 2822002, P
Marquez Smith, 1797884, 3B|UT
Jose Anderson, 29689591, OF|UT
Tyresse Turner, 29090136, SS|UT
Solomon Bates, 2932273, P
Roman Collins, 2804677, OF|UT
Tyler Spurlin, 2750314, P
Edgar Navarro, 2930960, P
Tyler Bryant, 29685426, P
Connor Caskenette, 29689592, C|UT
